🕘️更新时间,#genre#
2024-12-23 19:01:56,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010144/$订阅源-IPv6
📺央视频道,#genre#
CCTV-1,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010144/$订阅源-IPv6
CCTV-1,http://[2409:8087:1a0a:df::4031]:80/wh7f454c46tw705163907_345094122/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源-IPv6
CCTV-1,http://115.48.62.255:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://123.161.39.146:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://171.117.18.156:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://125.43.252.54:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://125.43.252.150:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000502$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$订阅源-IPv6
CCTV-2,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS$订阅源-IPv6
CCTV-2,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV-2,http://115.48.62.255:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://123.161.39.146:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://171.117.18.156:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://125.43.252.54:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://125.43.252.150:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8?$订阅源-IPv6
CCTV-3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://123.161.39.146:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://125.43.252.54:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-3,http://125.43.252.150:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-3,http://27.14.153.181:9901/tsfile/live/0003_2.m3u8$订阅源
CCTV-3,http://221.224.4.170:1111/tsfile/live/0003_1.m3u8$订阅源
CCTV-4,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS$订阅源-IPv6
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226007/index.m3u8$订阅源-IPv6
CCTV-4,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源-IPv6
CCTV-4,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000485/index.m3u8$订阅源-IPv6
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8?$订阅源-IPv6
CCTV-4,http://115.48.62.255:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://123.161.39.146:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://171.117.18.156:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://125.43.252.150:9901/tsfile/live/1004_1.m3u8$订阅源
CCTV-4,http://27.14.153.181:9901/tsfile/live/0004_2.m3u8$订阅源
CCTV-5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8$订阅源-IPv6
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV-5,http://[2409:8087:1a0a:df::4017]:80/wh7f454c46tw1517328845_1706942365/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1713968346&from=4&hms_devid=990&online=1713968346&vqe=3$订阅源-IPv6
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8$订阅源-IPv6
CCTV-5,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV-5,http://115.48.62.255:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://123.161.39.146:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://171.117.18.156:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://125.43.252.54:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://125.43.252.150:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5+,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000507/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000021$订阅源-IPv6
CCTV-5+,http://[2409:8087:1a0a:df::4032]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000461/index.m3u8?IAS$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/1.m3u8$订阅源-IPv6
CCTV-5+,http://27.14.153.181:9901/tsfile/live/0016_2.m3u8$订阅源
CCTV-5+,http://221.199.193.201:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-5+,http://221.199.193.250:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-5+,http://60.210.100.54:352/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://221.199.193.215:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-6,http://[2409:8087:1a0a:df::4038]:80/wh7f454c46tw1592771597_580809367/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1713968421&from=4&hms_devid=1211&online=1713968421&vqe=3$订阅源-IPv6
CCTV-6,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a0a:df::4038]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000374/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265006/$订阅源-IPv6
CCTV-6,http://115.48.62.255:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://123.161.39.146:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://171.117.18.156:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://125.43.252.54:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-6,http://125.43.252.150:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS$订阅源-IPv6
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/1.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000380/index.m3u8$订阅源-IPv6
